foodcategory,fooditem,per100grams,cals_per100grams,kj_per100grams
coldcutslunchmeat,dutchloaf,100g,268,1126
coldcutslunchmeat,ham,100g,145,609
coldcutslunchmeat,hamsausage,100g,164,689
coldcutslunchmeat,headcheese,100g,157,659
coldcutslunchmeat,hickoryham,100g,188,790
coldcutslunchmeat,honeyham,100g,122,512
coldcutslunchmeat,liverwurst,100g,326,1369
coldcutslunchmeat,oliveloaf,100g,232,974
coldcutslunchmeat,ovenroastedturkeybreast,100g,104,437
coldcutslunchmeat,parmaham,100g,345,1449
coldcutslunchmeat,pastrami,100g,133,559
coldcutslunchmeat,pepperoni,100g,494,2075
coldcutslunchmeat,pimentoloaf,100g,265,1113
coldcutslunchmeat,porkroast,100g,247,1037
coldcutslunchmeat,prosciutto,100g,195,819
coldcutslunchmeat,roastbeef,100g,267,1121
coldcutslunchmeat,salami,100g,336,1411
coldcutslunchmeat,serranoham,100g,300,1260
coldcutslunchmeat,smokedham,100g,107,449
coldcutslunchmeat,smokedturkeybreast,100g,104,437
coldcutslunchmeat,summersausage,100g,298,1252
coldcutslunchmeat,tongue,100g,284,1193
coldcutslunchmeat,turkeybreast,100g,104,437
coldcutslunchmeat,turkeyham,100g,126,529
coldcutslunchmeat,turkeysalami,100g,152,638
meat,alligator,100g,232,974
meat,beef,100g,248,1042
meat,beefbrisket,100g,242,1016
meat,beefjerky,100g,410,1722
meat,beefribs,100g,238,1000
meat,beeftenderloin,100g,218,916
meat,chicken,100g,219,920
meat,chickenbreast,100g,172,722
meat,chickendrumstick,100g,185,777
meat,chickenfat,100g,898,3772
meat,chickengiblets,100g,158,664
meat,chickengizzards,100g,146,613
meat,chickenleg,100g,174,731
meat,chickenliver,100g,167,701
meat,chickenmeat,100g,172,722
meat,chickenthigh,100g,229,962
meat,chickenwing,100g,266,1117
meat,chucksteak,100g,277,1163
meat,cubedsteak,100g,199,836
meat,duck,100g,337,1415
meat,filetmignon,100g,267,1121
meat,flanksteak,100g,194,815
meat,flatironsteak,100g,137,575
meat,groundbeef,100g,246,1033
meat,groundround,100g,246,1033
meat,ham,100g,163,685
meat,newyorkstripsteak,100g,199,836
meat,ostrich,100g,145,609
meat,pork,100g,196,823
meat,porkbabybackribs,100g,212,890
meat,porkchops,100g,196,823
meat,porkcountrystyleribs,100g,247,1037
meat,porkloin,100g,204,857
meat,porkroast,100g,254,1067
meat,porksteaks,100g,196,823
meat,roastbeef,100g,140,588
meat,roundsteak,100g,182,764
meat,schnitzel,100g,156,655
meat,spareribs,100g,238,1000
meat,standingribroast,100g,333,1399
meat,tbonesteak,100g,202,848
meat,turkey,100g,189,794
meat,turkeybreast,100g,135,567
meat,turkeylegs,100g,208,874
meat,turkeysteak,100g,189,794
meat,turkeywings,100g,221,928
offalgiblets,beefbrain,100g,196,823
offalgiblets,beefheart,100g,165,693
offalgiblets,beefkidney,100g,158,664
offalgiblets,beefliver,100g,191,802
offalgiblets,beeflung,100g,120,504
offalgiblets,beefmelt,100g,271,1138
offalgiblets,beeftongue,100g,284,1193
offalgiblets,calfbrain,100g,136,571
offalgiblets,calfliver,100g,192,806
offalgiblets,calflung,100g,104,437
offalgiblets,calfmelt,100g,256,1075
offalgiblets,chickengiblets,100g,277,1163
offalgiblets,chickenheart,100g,185,777
offalgiblets,chickenliver,100g,172,722
offalgiblets,chickenstomach,100g,148,622
offalgiblets,chitterlings,100g,233,979
offalgiblets,duckliver,100g,136,571
offalgiblets,gooseliver,100g,133,559
offalgiblets,hogmaws,100g,157,659
offalgiblets,pigbrain,100g,138,580
offalgiblets,pigheart,100g,148,622
offalgiblets,pigkidney,100g,151,634
offalgiblets,piglung,100g,99,416
offalgiblets,porkliver,100g,165,693
offalgiblets,porkmelt,100g,219,920
offalgiblets,porktongue,100g,271,1138
offalgiblets,turkeygiblets,100g,173,727
offalgiblets,turkeyheart,100g,174,731
offalgiblets,turkeyliver,100g,189,794
offalgiblets,turkeystomach,100g,148,622
offalgiblets,vealheart,100g,186,781
offalgiblets,vealkidney,100g,163,685
offalgiblets,vealtongue,100g,202,848
pork,bacon,100g,407,1709
pork,brawn,100g,309,1298
pork,canadianstylebacon,100g,107,449
pork,chitterlings,100g,233,979
pork,groundpork,100g,263,1105
pork,hogmaws,100g,250,1050
pork,lard,100g,898,3772
pork,meatloaf,100g,89,374
pork,parmaham,100g,261,1096
pork,pigear,100g,166,697
pork,pigfat,100g,638,2680
pork,pigstail,100g,396,1663
pork,pigstrotter,100g,243,1021
pork,porkbacon,100g,407,1709
pork,porkbelly,100g,518,2176
pork,porkbladesteak,100g,232,974
pork,porkchop,100g,123,517
pork,porkcountrystyleribs,100g,133,559
pork,porkcrownroast,100g,212,890
pork,porkcutlet,100g,131,550
pork,porkcutlets,100g,131,550
pork,porkleg,100g,201,844
pork,porkloin,100g,143,601
pork,porkmeatloaf,100g,243,1021
pork,porkragout,100g,73,307
pork,porkribroast,100g,159,668
pork,porkribs,100g,292,1226
pork,porkroast,100g,194,815
pork,porksausage,100g,339,1424
pork,porkshank,100g,172,722
pork,porkshoulder,100g,269,1130
pork,porkshoulderblade,100g,232,974
pork,porkstomach,100g,250,1050
pork,rackofpork,100g,241,1012
pork,saltmeat,100g,286,1201
pork,saltpork,100g,286,1201
pork,serranoham,100g,339,1424
pork,spareribs,100g,396,1663
pork,spareribs,100g,238,1000
poultryfowl,capon,100g,229,962
poultryfowl,chicken,100g,219,920
poultryfowl,chickenbreast,100g,172,722
poultryfowl,chickendrumsticks,100g,185,777
poultryfowl,chickengizzards,100g,154,647
poultryfowl,chickenlegs,100g,174,731
poultryfowl,chickenthighs,100g,229,962
poultryfowl,chickenwings,100g,266,1117
poultryfowl,cornishhens,100g,259,1088
poultryfowl,dove,100g,213,895
poultryfowl,duck,100g,337,1415
poultryfowl,duckbreast,100g,201,844
poultryfowl,emu,100g,152,638
poultryfowl,goose,100g,305,1281
poultryfowl,guineafowl,100g,158,664
poultryfowl,ostrich,100g,145,609
poultryfowl,ostrichmeat,100g,145,609
poultryfowl,pheasant,100g,239,1004
poultryfowl,pheasantbreast,100g,133,559
poultryfowl,pheasantleg,100g,239,1004
poultryfowl,pigeon,100g,142,596
poultryfowl,poularde,100g,200,840
poultryfowl,quail,100g,227,953
poultryfowl,quailbreast,100g,123,517
poultryfowl,rhea,100g,160,672
poultryfowl,turkey,100g,189,794
poultryfowl,turkeybreast,100g,135,567
poultryfowl,turkeycutlet,100g,189,794
poultryfowl,turkeydrumsticks,100g,208,874
poultryfowl,turkeylegs,100g,208,874
poultryfowl,turkeysteak,100g,189,794
poultryfowl,turkeywings,100g,221,928
poultryfowl,wildduck,100g,211,886
sausage,andouille,100g,232,974
sausage,bacon,100g,407,1709
sausage,blackpudding,100g,379,1592
sausage,bloodsausage,100g,379,1592
sausage,bockwurst,100g,301,1264
sausage,boiledham,100g,104,437
sausage,bologna,100g,247,1037
sausage,boudin,100g,194,815
sausage,bratwurst,100g,297,1247
sausage,brawn,100g,157,659
sausage,breakfastsausagelinks,100g,339,1424
sausage,cheesepastry,100g,374,1571
sausage,chickenbreast,100g,79,332
sausage,chickenmeat,100g,79,332
sausage,chickensalad,100g,81,340
sausage,chorizo,100g,455,1911
sausage,cookedham,100g,133,559
sausage,cornedbeef,100g,153,643
sausage,cumberlandsausage,100g,250,1050
sausage,frankfurters,100g,305,1281
sausage,garlicsausage,100g,169,710
sausage,hotdogs,100g,278,1168
sausage,hotsausage,100g,259,1088
sausage,italiansausage,100g,149,626
sausage,jerky,100g,410,1722
sausage,kielbasa,100g,309,1298
sausage,knackwurst,100g,307,1289
sausage,landjaeger,100g,352,1478
sausage,linguica,100g,282,1184
sausage,liverpate,100g,319,1340
sausage,liverwurst,100g,326,1369
sausage,luncheonmeat,100g,117,491
sausage,mettwurst,100g,310,1302
sausage,mortadella,100g,311,1306
sausage,pastrami,100g,133,559
sausage,pepperoni,100g,494,2075
sausage,polishsausage,100g,301,1264
sausage,pork,100g,247,1037
sausage,porkroll,100g,302,1268
sausage,prosciutto,100g,195,819
sausage,ringbologna,100g,286,1201
sausage,salami,100g,336,1411
sausage,sausage,100g,230,966
sausage,smokedsausage,100g,301,1264
sausage,souse,100g,157,659
sausage,spam,100g,315,1323
sausage,weisswurst,100g,313,1315
venisongame,alligator,100g,104,437
venisongame,alligatormeat,100g,232,974
venisongame,antelopemeat,100g,150,630
venisongame,bearmeat,100g,259,1088
venisongame,beavermeat,100g,212,890
venisongame,bison,100g,171,718
venisongame,bisonmeat,100g,171,718
venisongame,bisonsirloin,100g,171,718
venisongame,buffalo,100g,131,550
venisongame,buffalomeat,100g,131,550
venisongame,caribou,100g,159,668
venisongame,goose,100g,238,1000
venisongame,goosemeat,100g,238,1000
venisongame,lamb,100g,202,848
venisongame,lambmeat,100g,202,848
venisongame,mallardduckmeat,100g,211,886
venisongame,mallardmeat,100g,211,886
venisongame,moose,100g,134,563
venisongame,moosemeat,100g,134,563
venisongame,mutton,100g,234,983
venisongame,muttonmeat,100g,234,983
venisongame,ostrich,100g,175,735
venisongame,ostrichmeat,100g,175,735
venisongame,pheasant,100g,239,1004
venisongame,pheasantmeat,100g,239,1004
venisongame,rabbit,100g,197,827
venisongame,racoon,100g,255,1071
venisongame,racoonmeat,100g,255,1071
venisongame,reindeer,100g,200,840
venisongame,reindeermeat,100g,200,840
venisongame,squirrel,100g,173,727
venisongame,squirrelmeat,100g,173,727
venisongame,venison,100g,164,689
venisongame,venisonsirloin,100g,158,664
venisongame,wildboar,100g,160,672
venisongame,wildboarmeat,100g,160,672
cakespies,angelfoodcake,100g,258,1084
cakespies,applecake,100g,252,1058
cakespies,applecobbler,100g,198,832
cakespies,applecrisp,100g,156,655
cakespies,applecrumble,100g,156,655
cakespies,applepie,100g,237,995
cakespies,applestrudel,100g,274,1151
cakespies,appleturnover,100g,348,1462
cakespies,applesaucecake,100g,358,1504
cakespies,bakedalaska,100g,247,1037
cakespies,bakewelltart,100g,430,1806
cakespies,banoffeepie,100g,395,1659
cakespies,birthdaycake,100g,465,1953
cakespies,blackandwhitecookie,100g,381,1600
cakespies,blackforestcake,100g,264,1109
cakespies,blueberrycobbler,100g,234,983
cakespies,blueberrymuffin,100g,377,1583
cakespies,blueberrypie,100g,232,974
cakespies,bundtcake,100g,370,1554
cakespies,buttermilkpie,100g,380,1596
cakespies,caramelcake,100g,475,1995
cakespies,carrotcake,100g,408,1714
cakespies,cheesecake,100g,321,1348
cakespies,cherrypie,100g,260,1092
cakespies,chesspie,100g,411,1726
cakespies,chocolatecake,100g,389,1634
cakespies,chocolatecreampie,100g,304,1277
cakespies,chocolatemoussecake,100g,260,1092
cakespies,chocolatemoussepie,100g,260,1092
cakespies,chocolatemuffin,100g,420,1764
cakespies,coconutcake,100g,356,1495
cakespies,coffeecake,100g,331,1390
cakespies,creampuff,100g,334,1403
cakespies,crumbcake,100g,441,1852
cakespies,cupcake,100g,305,1281
cakespies,danishpastry,100g,374,1571
cakespies,donut,100g,403,1693
cakespies,doughnut,100g,403,1693
cakespies,flan,100g,145,609
cakespies,flourlesschocolatecake,100g,509,2138
cakespies,frenchcruller,100g,412,1730
cakespies,fruitcake,100g,324,1361
cakespies,funnelcake,100g,307,1289
cakespies,germanchocolatecake,100g,370,1554
cakespies,gingerbread,100g,356,1495
cakespies,icecreamcake,100g,200,840
cakespies,keylimepie,100g,359,1508
cakespies,kingcake,100g,377,1583
cakespies,layercake,100g,402,1688
cakespies,lemoncake,100g,352,1478
cakespies,lemonmeringuepie,100g,268,1126
cakespies,madeiracake,100g,394,1655
cakespies,marblecake,100g,339,1424
cakespies,meringue,100g,285,1197
cakespies,operacake,100g,320,1344
cakespies,paczki,100g,336,1411
cakespies,pancake,100g,227,953
cakespies,panettone,100g,360,1512
cakespies,pavlova,100g,294,1235
cakespies,peachcobbler,100g,65,273
cakespies,peachpie,100g,223,937
cakespies,pecanpie,100g,407,1709
cakespies,pineappleupsidedowncake,100g,319,1340
cakespies,plumcake,100g,109,458
cakespies,poppyseedcake,100g,394,1655
cakespies,poundcake,100g,390,1638
cakespies,profiterole,100g,334,1403
cakespies,puffpastry,100g,558,2344
cakespies,pumpkinbread,100g,298,1252
cakespies,pumpkincheesecake,100g,340,1428
cakespies,pumpkinpie,100g,243,1021
cakespies,raspberrypie,100g,240,1008
cakespies,redvelvetcake,100g,367,1541
cakespies,rhubarbpie,100g,245,1029
cakespies,rumcake,100g,351,1474
cakespies,sachertorte,100g,352,1478
cakespies,spongecake,100g,289,1214
cakespies,strawberrycheesecake,100g,327,1373
cakespies,strawberrypie,100g,230,966
cakespies,strawberryrhubarbpie,100g,281,1180
cakespies,sweetpotatopie,100g,260,1092
cakespies,swissroll,100g,439,1844
cakespies,tartetatin,100g,210,882
cakespies,tiramisu,100g,283,1189
cakespies,tiramisucake,100g,291,1222
cakespies,treacletart,100g,369,1550
cakespies,treslechescake,100g,246,1033
cakespies,trifle,100g,180,756
cakespies,victoriaspongecake,100g,257,1079
cakespies,waffles,100g,312,1310
cakespies,weddingcake,100g,381,1600
candysweets,3musketeers,100g,400,1680
candysweets,aftereight,100g,452,1898
candysweets,airheads,100g,375,1575
candysweets,almondroca,100g,571,2398
candysweets,angeldelight,100g,451,1894
candysweets,animalcrackers,100g,446,1873
candysweets,babyruth,100g,469,1970
candysweets,butterfinger,100g,450,1890
candysweets,buttermilkpancakes,100g,238,1000
candysweets,candyapple,100g,152,638
candysweets,candycane,100g,423,1777
candysweets,candycanes,100g,423,1777
candysweets,candycorn,100g,360,1512
candysweets,candyfloss,100g,400,1680
candysweets,caramelpopcorn,100g,376,1579
candysweets,caramelsquares,100g,367,1541
candysweets,celebrations,100g,490,2058
candysweets,cheezits,100g,533,2239
candysweets,chocolate,100g,529,2222
candysweets,chocolatebar,100g,533,2239
candysweets,chocolatechips,100g,493,2071
candysweets,cookies,100g,488,2050
candysweets,cottoncandy,100g,643,2701
candysweets,eggybread,100g,196,823
candysweets,fairycakes,100g,440,1848
candysweets,ferrerorocher,100g,576,2419
candysweets,flapjack,100g,486,2041
candysweets,fortunecookies,100g,214,899
candysweets,granolabars,100g,452,1898
candysweets,gumdrops,100g,321,1348
candysweets,gummibears,100g,316,1327
candysweets,hanuta,100g,541,2272
candysweets,hersheykisses,100g,471,1978
candysweets,jellybeans,100g,354,1487
candysweets,jellybelly,100g,354,1487
candysweets,jollyranchers,100g,385,1617
candysweets,jordanalmonds,100g,429,1802
candysweets,kitkat,100g,521,2188
candysweets,laffytaffy,100g,372,1562
candysweets,licorice,100g,375,1575
candysweets,lifesavers,100g,500,2100
candysweets,lindtchocolate,100g,548,2302
candysweets,liquorice,100g,375,1575
candysweets,lollipop,100g,392,1646
candysweets,mms,100g,479,2012
candysweets,maltesers,100g,498,2092
candysweets,marsbar,100g,448,1882
candysweets,marshmallows,100g,318,1336
candysweets,marzipan,100g,411,1726
candysweets,mikeandike,100g,360,1512
candysweets,milkduds,100g,422,1772
candysweets,milkyway,100g,449,1886
candysweets,payday,100g,462,1940
candysweets,peanutbar,100g,533,2239
candysweets,peanutbrittle,100g,183,769
candysweets,peanutbutterbars,100g,379,1592
candysweets,peanutbuttercookies,100g,475,1995
candysweets,peppermintbark,100g,500,2100
candysweets,pez,100g,427,1793
candysweets,poprocks,100g,358,1504
candysweets,popcorn,100g,582,2444
candysweets,pumpkinseeds,100g,560,2352
candysweets,reesespeanutbuttercups,100g,536,2251
candysweets,ricepudding,100g,134,563
candysweets,roastedalmonds,100g,452,1898
candysweets,rolo,100g,474,1991
candysweets,smores,100g,500,2100
candysweets,semolina,100g,340,1428
candysweets,skittles,100g,405,1701
candysweets,smarties,100g,357,1499
candysweets,smores,100g,500,2100
candysweets,snickers,100g,484,2033
candysweets,sourpatchkids,100g,363,1525
candysweets,speculoos,100g,469,1970
candysweets,spritzcookies,100g,500,2100
candysweets,take5,100g,476,1999
candysweets,toblerone,100g,525,2205
candysweets,trifle,100g,186,781
candysweets,twix,100g,495,2079
candysweets,waffles,100g,272,1142
candysweets,whoopiepie,100g,400,1680
icecream,baskinrobbins,100g,239,1004
icecream,benandjerrys,100g,228,958
icecream,butterpecanicecream,100g,248,1042
icecream,carvel,100g,212,890
icecream,chocolatechipicecream,100g,215,903
icecream,chocolateicecream,100g,216,907
icecream,ciaobella,100g,109,458
icecream,coffeeicecream,100g,236,991
icecream,coldstonecreamery,100g,232,974
icecream,cookiedoughicecream,100g,200,840
icecream,crunchiemcflurry,100g,174,731
icecream,dairymilkmcflurry,100g,186,781
icecream,dippindots,100g,224,941
icecream,doublerainbow,100g,257,1079
icecream,drumsticks,100g,255,1071
icecream,frenchvanillaicecream,100g,201,844
icecream,friendlys,100g,212,890
icecream,healthychoice,100g,125,525
icecream,hotfudgesundae,100g,186,781
icecream,icecreamsandwich,100g,237,995
icecream,icecreamsundae,100g,142,596
icecream,icemilk,100g,159,668
icecream,magnolia,100g,230,966
icecream,magnum,100g,300,1260
icecream,magnumalmond,100g,315,1323
icecream,magnumdoublecaramel,100g,355,1491
icecream,magnumdoublechocolate,100g,380,1596
icecream,magnumgold,100g,341,1432
icecream,magnumwhite,100g,297,1247
icecream,mcflurry,100g,153,643
icecream,mcflurryoreo,100g,186,781
icecream,minimilk,100g,120,504
icecream,mintchocolatechipicecream,100g,239,1004
icecream,rockyroadicecream,100g,257,1079
icecream,schwans,100g,246,1033
icecream,smartiesmcflurry,100g,198,832
icecream,snickersicecream,100g,360,1512
icecream,softserve,100g,222,932
icecream,solero,100g,100,420
icecream,strawberryicecream,100g,236,991
icecream,strawberrysundae,100g,158,664
icecream,sundae,100g,215,903
icecream,turkeyhill,100g,271,1138
icecream,vanillacone,100g,162,680
icecream,vanillaicecream,100g,201,844
fruitjuices,acaijuice,100ml,58,244
fruitjuices,aloevera,100ml,44,185
fruitjuices,applejuice,100ml,46,193
fruitjuices,apricotnectar,100ml,56,235
fruitjuices,bananajuice,100ml,50,210
fruitjuices,blackberryjuice,100ml,48,202
fruitjuices,boysenberryjuice,100ml,54,227
fruitjuices,caprisun,100ml,41,172
fruitjuices,carrotjuice,100ml,40,168
fruitjuices,chamomiletea,100ml,0,0
fruitjuices,cherryjuice,100ml,45,189
fruitjuices,clamato,100ml,60,252
fruitjuices,coconutmilk,100ml,233,979
fruitjuices,coconutwater,100ml,19,80
fruitjuices,concordgrape,100ml,71,298
fruitjuices,cranberryapplejuice,100ml,67,281
fruitjuices,cranberrygrapejuice,100ml,71,298
fruitjuices,cranberryjuice,100ml,46,193
fruitjuices,cucumberjuice,100ml,10,42
fruitjuices,currantjuice,100ml,48,202
fruitjuices,energydrink,100ml,87,365
fruitjuices,fruitopia,100ml,110,462
fruitjuices,grapejuice,100ml,60,252
fruitjuices,grapefruitjuice,100ml,46,193
fruitjuices,lemonjuice,100ml,21,88
fruitjuices,lemonade,100ml,50,210
fruitjuices,limejuice,100ml,21,88
fruitjuices,limeade,100ml,128,538
fruitjuices,mangolassi,100ml,66,277
fruitjuices,nestea,100ml,21,88
fruitjuices,orangejuice,100ml,46,193
fruitjuices,papayajuice,100ml,58,244
fruitjuices,passionfruitjuice,100ml,48,202
fruitjuices,peachjuice,100ml,54,227
fruitjuices,peachnectar,100ml,54,227
fruitjuices,pearjuice,100ml,60,252
fruitjuices,pearnectar,100ml,60,252
fruitjuices,pineapplejuice,100ml,53,223
fruitjuices,pineappleorangejuice,100ml,50,210
fruitjuices,plumjuice,100ml,71,298
fruitjuices,pomegranatejuice,100ml,66,277
fruitjuices,sauerkrautjuice,100ml,14,59
fruitjuices,tangerinejuice,100ml,43,181
fruitjuices,tomatojuice,100ml,17,71
fruitjuices,vegetablejuice,100ml,21,88
fruitjuices,whitegrapejuice,100ml,75,315
alcoholicdrinksbeverages,absinthe,100ml,348,1462
alcoholicdrinksbeverages,advocaat,100ml,283,1189
alcoholicdrinksbeverages,amaretto,100ml,310,1302
alcoholicdrinksbeverages,applejack,100ml,233,979
alcoholicdrinksbeverages,asti,100ml,138,580
alcoholicdrinksbeverages,baileysirishcream,100ml,327,1373
alcoholicdrinksbeverages,baileys,100ml,327,1373
alcoholicdrinksbeverages,beer,100ml,43,181
alcoholicdrinksbeverages,bluecuracao,100ml,243,1021
alcoholicdrinksbeverages,bourbon,100ml,233,979
alcoholicdrinksbeverages,brandy,100ml,213,895
alcoholicdrinksbeverages,canadianwhiskey,100ml,216,907
alcoholicdrinksbeverages,chambord,100ml,348,1462
alcoholicdrinksbeverages,champagne,100ml,75,315
alcoholicdrinksbeverages,cider,100ml,49,206
alcoholicdrinksbeverages,cognac,100ml,235,987
alcoholicdrinksbeverages,cointreau,100ml,320,1344
alcoholicdrinksbeverages,drambuie,100ml,358,1504
alcoholicdrinksbeverages,frangelico,100ml,238,1000
alcoholicdrinksbeverages,gin,100ml,263,1105
alcoholicdrinksbeverages,glenfiddich,100ml,230,966
alcoholicdrinksbeverages,grandmarnier,100ml,253,1063
alcoholicdrinksbeverages,irishwhiskey,100ml,233,979
alcoholicdrinksbeverages,jackdaniels,100ml,146,613
alcoholicdrinksbeverages,jagermeister,100ml,250,1050
alcoholicdrinksbeverages,jimbeam,100ml,222,932
alcoholicdrinksbeverages,kahlua,100ml,180,756
alcoholicdrinksbeverages,liqueur,100ml,250,1050
alcoholicdrinksbeverages,liquor,100ml,250,1050
alcoholicdrinksbeverages,midori,100ml,267,1121
alcoholicdrinksbeverages,prosecco,100ml,66,277
alcoholicdrinksbeverages,punch,100ml,62,260
alcoholicdrinksbeverages,redwine,100ml,85,357
alcoholicdrinksbeverages,rosewine,100ml,71,298
alcoholicdrinksbeverages,rum,100ml,231,970
alcoholicdrinksbeverages,sambuca,100ml,333,1399
alcoholicdrinksbeverages,sangria,100ml,96,403
alcoholicdrinksbeverages,scotch,100ml,222,932
alcoholicdrinksbeverages,sherry,100ml,116,487
alcoholicdrinksbeverages,sloegin,100ml,332,1394
alcoholicdrinksbeverages,southerncomfort,100ml,247,1037
alcoholicdrinksbeverages,tequila,100ml,110,462
alcoholicdrinksbeverages,triplesec,100ml,153,643
alcoholicdrinksbeverages,vermouth,100ml,130,546
alcoholicdrinksbeverages,vodka,100ml,231,970
